'VIRGINIA ALICIA', 'BALASTEGUI PRINCIPE', '1920-07-18'
'AMILCAR JOSE', 'MOTINO ARCENTALES', '1919-05-09'
'ROSARIO ISABEL', 'TRISTANY ZAPARDIEL', '1929-01-15'
'MARCELO OSCAR', 'REOYO CANORA', '1920-09-30'
'ODILA', 'ZANGO URRA', '1948-08-22'
'MARIA PUIG', 'ARRATE ALPAÑEZ', '1935-06-02'
'MAYERLIN', 'CECILIO BARGACH', '1960-07-29'
'ARTURO JORGE', 'BALTANAS TRIAY', '2003-03-26'
'SEBASTIAN CONSTANTIN', 'CENTENO VALDEZ', '1996-08-24'
'JASVINDER', 'HOCES ALTEMIR', '1944-02-22'
'MIREN IOSUNE', 'PRIEGO MUNTAL', '1940-02-17'
'CRISTIAN CATALIN', 'CEVALLOS CAÑAS', '1944-05-24'
'AZEDINE', 'SOTA DAMIA', '1924-07-21'
'CONCEPCION ANTONIA', 'CEBRAL PALMADA', '1999-07-12'
'CIRCUNCISION', 'CANOURA CRISTESCU', '1995-11-01'
'PANAGIOTA', 'EL KABOURI NOGALEDO', '1943-02-10'
'CRISTOPHER ANDRES', 'YAGO MONZON', '1998-09-14'
'MARIO OSCAR', 'ARRAIZA HAMADI', '1949-12-04'
'MANFRED', 'EUCEDA GUILLO', '1922-04-14'
'ITZAN', 'PAHINO ELORDUY', '1977-07-26'
'CECILIA EUGENIA', 'DUDAU GARDOKI', '1950-11-28'
'VANESSA ANDREINA', 'ALEXE ARCILA', '1926-08-07'
'RICARDO GABRIEL', 'TINTORE KUZMENKO', '2014-11-17'
'GERRIT JAN', 'BELLI SALVANY', '2008-02-25'
'BERNARDINO MANUEL', 'CHAKOURI OUAALI', '2011-09-15'
'ARION', 'ANGRILL APARICI', '1957-03-16'
'MARIUS COSTEL', 'ANDREY NOGUERAS', '1994-03-28'
'OLGA VANESA', 'BALLELL ANGUELA', '2012-09-03'
'SOLANGE MARIA', 'ITURBE CAMPOMAR', '2014-02-12'
'JUANA OLGA', 'TAMARGO DA CUNHA', '1998-11-07'
'ADAM JOHN', 'PEIRIS GARMENDIA', '1950-09-19'
'ELISABETH JOHANNA', 'PIEDRA PREIXENS', '1980-10-05'
'ELICIA', 'PERIBAÑEZ RUMOROSO', '1941-08-02'
'MIHAELA RODICA', 'PAPA TURIEL', '1926-06-16'
'ILUMINADO', 'RISCART CHARLO', '1947-03-09'
'SONIA ESMERALDA', 'SADORNIL INCLAN', '1939-10-25'
'JOSE BUENAVENTURA', 'ALMORIL AMAT', '2012-04-27'
'ANNE MIREN', 'CECA GAVIRO', '2000-03-31'
'ANDREW PHILIP', 'DE LA CUADRA BARBETA', '2001-07-03'
'GEORGETA ALINA', 'GODO CARDOZO', '1984-02-12'
'TURA', 'HAQUE ANELLO', '1949-05-01'
'NADZEYA', 'ROYANO FELICIANO', '1995-07-15'
'SIRA', 'CASAMAYOR ARESTE', '1931-04-08'
'JOHN WILLIAM', 'DE LA OSADA JUDEZ', '1936-05-21'
'EDUARDO JESUS', 'BAZ PORROCHE', '1992-09-28'
'MICHAEL WILLIAM', 'CARBALLAS ORDIALES', '1993-12-11'
'EDWIN GERMAN', 'DIAZ PINES RAO', '1957-11-29'
'NICA', 'LAAMIRI SARRATEA', '1940-05-16'
'EVARISTA MARIA', 'BARCON EL HABCHI', '1983-06-25'
'MARISA ISABEL', 'IBARGUEN BLANQUEZ', '1972-11-10'
'BENIGNO MANUEL', 'MERLOS CASO', '1999-07-05'
'BRAYAN ANDRES', 'MOLINER SOTERO', '2006-11-28'
'SERGIO FERNANDO', 'DIAKHATE PALOMO', '1925-09-09'
'DAVID RUBEN', 'DE LA ESCALERA PALLARES', '1956-01-18'
'ANA CONCEPCION', 'BERNALDO DE QUIROS VARTOLOMEI', '1991-03-09'
'ELIXABET', 'VILATA CORONADO', '1975-05-14'
'CONRADO JAVIER', 'AGUIRREZABAL SINGHATEH', '1948-11-02'
'JAMILA', 'NESTARES DOMEC', '1963-12-05'
'MARILU', 'TERREN NODA', '1973-06-10'
'NOLBERTA', 'ANGRILL HERNANSANZ', '1944-03-28'
'RAFAEL SANTOS', 'POLISHCHUK TIAGO', '1922-01-18'
'DOLORES ARACELI', 'ENJUTO CLAUSELL', '2008-06-29'
'DANILO ANDRES', 'SALLA BELHAJ', '1919-07-02'
'WAJID', 'PELLUS CORRIOLS', '1966-05-10'
'SILVIA MAR', 'SOLDADO PILLADO', '2009-08-14'
'JOSE ALBINO', 'CHINCHURRETA FERRAZ', '2015-06-08'
'AITANA', 'TOBARUELA SAINZ EZQUERRA', '1943-02-21'
'IAN MARTIN', 'BADAS PROSPER', '1930-02-06'
'CELS', 'PERUYERO LADRA', '1963-09-22'
'ANALI', 'ARRUA DOURAL', '1980-08-05'
'CARLIXTA', 'BEJINES PONTES', '1972-07-15'
'GUSTAVO GERMAN', 'MORILLAS BERNALDO', '1981-11-20'
'MARIA REYES', 'CAUSAPE PERUGA', '1961-08-11'
'IGNACIO CARLOS', 'LARRAZA CAZAN', '1919-09-22'
'DIEGO MAXIMILIANO', 'ARBOL DEL ORO', '1975-01-06'
'MARIA IRLANDA', 'BER LEO', '1959-03-13'
'LEONARDO SEBASTIAN', 'LLUVA HOMPANERA', '2004-10-26'
'NASREEN', 'CASAMIQUELA TRENADO', '1993-02-10'
'SANDRA CRISTINA', 'MIOTA MONTON', '1924-11-21'
'MAGDALENA ROSARIO', 'KE BUJIA', '1957-05-20'
'ALICIA MONICA', 'CARRERAS VILLAPALOS', '1964-06-28'
'ANNAS', 'MATIAS LEÑERO', '1954-08-17'
'ITHAYSA', 'RIBAO CHATT', '1977-01-10'
'NIKA', 'ANTICH PACURAR', '1921-10-07'
'MARIA PLACIDA', 'PELUFO GARCIA OCHOA', '1953-12-30'
'IRIS MAR', 'HESS LARGO', '1961-05-24'
'PAOLA ELIZABETH', 'BOUTAHAR EL KANDOUSSI', '1961-03-04'
'KABIR', 'OUAHABI PIÑERA', '2012-06-18'
'SHAMA', 'VANACLOCHA ALHAMBRA', '1951-12-16'
'MOHAMED RAYANE', 'CRISTO CHICOT', '1928-08-01'
'TATIANA ISABEL', 'SUSOHO CACHARRON', '2009-08-18'
'MARIA FIDELINA', 'ERHABOR JOHANSSON', '1949-11-06'
'HUDA', 'HAHN VINDEL', '1954-11-24'
'ORESTA', 'BALFEGO MERZOUKI', '1956-06-07'
'CIRILA', 'BABAR ABOAL', '1996-06-25'
'ROSA DIVINA', 'GONZALEZ DE CANALES MONERRIS', '1998-08-19'
'RAQUEL SONIA', 'RESMELLA RIGUEIRO', '1961-10-10'
'IONUT DANIEL', 'VILAN IOANA', '2001-01-16'
'ROSALYN', 'FOLGAR ETXEBARRIETA', '1983-03-15'
'ADNAN', 'HELLIN SAMOS', '1971-02-14'
'ELIEZER', 'JALON ENRICH', '1935-12-24'
'ALLISON', 'MAITA CARBALLA', '1957-05-07'
'EMMA ROCIO', 'CIURARU RUMEU', '1982-02-14'
'NICHOLAS ANDREW', 'BATALLE TERRON', '1928-05-12'
'JANE MARY', 'SEGARRA CALDENTEY', '1928-05-22'
'ALBERT DANIEL', 'BASTARRICA CASTAÑAR', '2011-01-01'
'BIENVENIDO JESUS', 'CABETAS CHIMENO', '1961-03-15'
'NEREA CARMEN', 'SAN MARTIN USTARROZ', '1986-08-21'
'RUBIN', 'SANROMA PAQUE', '1973-09-08'
'MARTA INMACULADA', 'ESPIGOL LEONE', '2003-03-20'
'LIDIA ELIZABETH', 'CAYERO DE CARVALHO', '1929-02-10'
'RUY', 'LIZAUR EL HAJI', '1923-02-20'
'MARIA DAVINIA', 'CANE AZABAL', '1955-03-21'
'LUIS ELADIO', 'CASEY RUIZ BERDEJO', '1950-09-25'
'MARIA SALIENTE', 'GARCIOLO GALAVIS', '1960-10-24'
'LUZ FANNY', 'URIZAR MURO', '1967-03-26'
'JOSE BENJAMIN', 'GARCIA MORATO MONTELONGO', '1999-04-20'
'JOSE LUIS IGNACIO', 'MORET VILLARROYA', '2012-09-12'
'GLORIA FATIMA', 'PLACERES MARTIN ALBO', '1974-07-19'
'SINAI', 'LABRA EL OUAFI', '2008-08-03'
'VICTOR DOMINGO', 'HERRERAS ALCOLADO', '1952-04-21'
'PLACIDIA', 'SANCHEZ DE LEON PERILLE', '1934-07-16'
'MARIA ANUSKA', 'OURINICH CUBIDES', '1931-05-13'
'LUCIMARA', 'MOTES ALTAREJOS', '1953-12-15'
'JAIME JOSE', 'BAZTARRICA FULLANA', '1952-05-19'
'OSIRIS', 'JIMENEZ ORTIZ BARRIENTOS', '1936-06-02'
'ZAKARIA', 'IMAFIDON RAICU', '1958-03-31'
'EL MATI', 'BELTRI MORATA', '2011-03-21'
'WLODZIMIERZ', 'CERUELO ELU', '1999-05-21'
'NATAEL', 'RODEIRO LERTXUNDI', '1996-08-10'
'ELISA BELEN', 'NERI ZALDUA', '1929-03-17'
'EUKENI', 'CASARRUBIOS CUERVAS', '1992-05-20'
'VIOREL ADRIAN', 'NISAR BERIAIN', '1940-02-28'
'APOLINARIA', 'URRETAVIZCAYA TORREBADELLA', '1951-06-27'
'VALENTIN MIGUEL', 'BELHAJ USHIÑA', '1961-09-21'
'NASRINE', 'HASSAN DOMATO', '1933-10-19'
'JOSE JULIAN', 'GORRIN TOSTON', '1977-02-03'
'MAGDALENA MONIKA', 'ARISTIMUÑO GODAY', '1978-10-04'
'RUBEN SEBASTIAN', 'BALLEN GURUCHARRI', '1944-06-06'
'YIZHONG', 'CHAMORRO URDANOZ', '1947-01-18'
'JEAN MARGARET', 'MESTRE MEDES', '1986-10-19'
'ALMUDENA ROSARIO', 'HUA DIAZ PINTADO', '1942-03-25'
'SALINA', 'BOCANEGRA VIEITEZ', '1954-01-08'
'PALOMA CONCEPCION', 'NEAGOE GORINA', '1937-01-23'
'VICTOR RUBEN', 'CEPRIAN PETRESCU', '1973-05-10'
'UNNI', 'VIEL ACASUSO', '1989-03-06'
'MADY', 'JUSCAFRESA ICART', '1937-01-14'
'GUILLERMO DANIEL', 'DANAILA ESCALE', '1952-11-07'
'MIR', 'PARLA URIAGUERECA', '1960-11-13'
'SEGUNDO GONZALO', 'SAGARDIA OVALLES', '1985-06-03'
'CRISTINA ALICIA', 'BOIZA SAGARDUY', '1947-05-04'
'KAREM', 'LAVIN OYANA', '1961-09-19'
'RITA CARMEN', 'BEIROA LARRAÑAGA', '1958-08-30'
'GENNADII', 'BLADE AGRASAR', '1977-12-10'
'JULIA MILAGROS', 'GORRAIZ ABANDO', '1978-12-05'
'RICARDO OSCAR', 'SANSANO VASALLO', '1932-10-26'
'GUOMEI', 'LOREA HIJAZO', '1999-12-04'
'STEFAN VALENTIN', 'AGIRREGOMEZKORTA BERROJO', '1957-02-06'
'GABRIELA LORENA', 'TAMARGO SANCHEZ CARNERERO', '1934-01-19'
'DOLORES CLARA', 'OREJUDO UBEDA', '1931-05-08'
'ARTURO PEDRO', 'BOUHOUCH EL ACHHAB', '1992-04-26'
'BOGUMILA', 'TURU SOTIL', '1939-06-14'
'KEVIN JONATHAN', 'STITOU URIBELARREA', '1932-06-09'
'IKHLAS', 'FORTIN BEAMUD', '1967-12-09'
'PABLINA', 'SANCHEZ REY GAYTAN DE AYALA', '2011-08-11'
'CLARA PATRICIA', 'ARGOS BERRADE', '1930-04-22'
'AGUSTIN ALEXIS', 'BRIONES BELZUNEGUI', '1979-01-20'
'MADALIN CONSTANTIN', 'ENTONADO MEGIA', '1933-04-12'
'SONIA CONCEPCION', 'AULADELL ROGEL', '1992-05-04'
'LUZ INES', 'LANGARITA AULINAS', '1924-06-24'
'MIHAI IOAN', 'ILLOBRE MASSOT', '1982-08-20'
'ALBA LUZ', 'DE LA BELLA CIOACA', '1997-06-15'
'SALEM', 'CABEDO REMOLAR', '1991-02-05'
'NAHID', 'GARRIGUES PURCAREA', '1921-10-02'
'AGUSTIN LORENZO', 'ROCIO COLLAZO', '1984-01-01'
'MARIEKE', 'AMEZQUITA ANGELINA', '1995-01-06'
'NORMA ADRIANA', 'BUCUR VALENTINOV', '1988-01-30'
'MIGUEL SERAFIN', 'AGUINAGA ACEITUNO', '1951-02-01'
'WALTER GUSTAVO', 'ALIJO CABREIRA', '1935-03-20'
'DIMKA', 'JOSE TINAJO', '1998-06-10'
'MARIANELA ROCIO', 'ALHASSAN VAREA', '1979-04-30'
'MARIA DORINA', 'ADIEGO PIZCUETA', '1921-11-14'
'MALWINA', 'RETES BARDI', '1938-05-20'
'ESTEBAN EMILIO', 'DILOY BOUCHMAL', '1980-04-05'
'MARGARET JOAN', 'FIDALGO CANARIO', '1937-04-03'
'RENI', 'SABORIDO MOROTE', '1928-01-04'
'MIGUEL EMILIO', 'HANNOU GRISO', '1920-03-05'
'MIHAELA RALUCA', 'OGNYANOV TRIANA', '1955-12-03'
'YOUNNES', 'ARRIOLA MILITARU', '1980-11-10'
'MARIA NEREIDA', 'LARRUBIA SALO', '1991-02-16'
'NATURA', 'CORBERO PAYANO', '1928-12-29'
'ALEKSEJ', 'DE SOUSA IMAÑA', '1957-02-15'
'ELLANDE', 'GRANO DE ORO TORNEL', '1977-06-29'
'DANIEL GABRIEL', 'TAISMA GUTA', '1924-10-14'
'CLARA EMILIA', 'STANICA MARENTE', '1972-01-28'
'KALA', 'BELART MADOLELL', '1939-06-07'
'PATRICIA JUNE', 'GUTU SUERO', '1988-10-12'
'CHEICKNE', 'EL OUJGLI ZORRILLA', '1936-02-17'
'DORIAN', 'SANCHA MAFTEI', '1987-10-25'
'ELVIRA LUISA', 'CORMENZANA ZUNZARREN', '1945-08-04'
'DORINEL', 'YASIN ACHURRA', '1949-01-21'
'ROCIO TAMARA', 'LAMPON LUCEÑO', '1971-04-17'
'JULIE ANDREA', 'CASACUBERTA MASO', '2000-02-19'
'LAURA JESUS', 'ARINA MARZAL', '1940-04-14'
'MAXIMO VICENTE', 'DANAILOVA HAMDOUNI', '1994-06-25'
'CARLOS HECTOR', 'CORTAZAR AYNES', '1965-05-16'
'GEMA JESUS', 'GALARZO ZOUAOUI', '1980-10-02'
'GONZALA', 'OCHOA DE ALDA LAURE', '1935-10-19'
'ANA YASMINA', 'MIRETE MARIANO', '1989-10-20'
'EMANUEL GABRIEL', 'CORSINI FLUIXA', '1965-11-15'
'QAMAR', 'ALBORS MACIÑEIRAS', '1921-11-28'
'JOAQUINA ANTONIA', 'AIXELA ANGUEIRA', '1932-05-23'
'ANNA KATHARINA', 'BELLERIN BORES', '1982-10-10'
'PEDRO FABIAN', 'TERRADAS NIEVES', '1927-03-11'
'JORGE ISMAEL', 'CALDITO SAUBI', '1960-04-19'
'DIEGO FRANCISCO', 'GOMBAU DE AMO', '2015-03-20'
'AARON JESUS', 'HUEDO ALDON', '2010-02-14'
'CASTA', 'AMANN REGIS', '2001-10-16'
'CATALINA ELIZABETH', 'ROSETE DONOSO', '1954-10-10'
'DAMIAN FERNANDO', 'QUINTIANA EL HAMDI', '1957-12-03'
'CARMEN AGUSTINA', 'HARTMANN RIVADENEIRA', '1937-02-19'
'CESAR ANTONIO', 'NGO URDAPILLETA', '1950-09-26'
'YERSON', 'OSAN ACEVEDO', '1959-08-05'
'ANYELA MARIA', 'LARIO BAUSELLS', '1977-04-15'
'JOSE SANTOS', 'VALLINOT CAMPRUBI', '1995-11-22'
'MARIA JORGELINA', 'SILVENTE CAMPAS', '1976-02-23'
'DESTINY', 'ELEZ BOTTA', '2006-02-03'
'CONSUELO ANGELES', 'AARAB GUIXOT', '1965-09-12'
'CRISTIAN ESTEBAN', 'EL MASLOUHI EL KADAOUI', '2002-07-19'
'OLAF', 'ASEGURADO CORCHETE', '1945-07-16'
'PAPA', 'YASSINE SANCHEZ BLANCA', '1993-12-05'
'JANE PATRICIA', 'PRENAFETA CIDAD', '1964-08-05'
'MAYSAE', 'ZEROUALI ELGARRESTA', '1976-02-16'
'DANIEL DAVID', 'MOREO PEINO', '1918-01-02'
'JOSE GABINO', 'VERGEL HIPOLA', '1969-03-05'
'MARIA JESICA', 'MONTLLOR PRUDENCIO', '1938-07-18'
'EUSEBIO JOSE', 'AZAM BABAR', '1997-10-01'
'ANTONIA LEONOR', 'PENAYO CAMBRES', '1947-07-02'
'GLORIA AMANDA', 'MAZUERA DE LAS PEÑAS', '1982-02-23'
'BANA', 'NOUR NOGUERALES', '2000-02-19'
'SERGIO BLAS', 'CUTRIN SAN LEANDRO', '1986-06-15'
'SOFIA ELENA', 'ALOU FATY', '1948-11-29'
'DANIEL ISAIAS', 'GONZAGA KAMENOV', '2012-11-13'
'LUIS REINALDO', 'TRAVER ALEIXANDRE', '1988-06-26'
'PEIFEN', 'ALAÑA JONSSON', '1943-05-02'
'ROBERTO ISIDRO', 'SAGUER MOHATAR', '1991-10-29'
'DIVINA MARIA', 'ABIN HUEBRA', '2010-12-29'
'DAVID JAIME', 'COOMONTE VIERA', '2008-10-11'
'VICTORINO', 'GORROCHATEGUI SERO', '1992-01-15'
'MARIA LUZ CARMEN', 'DONGIL EDROSO', '1989-06-25'
'NICHOLAS JOHN', 'UCENDO IDARRAGA', '1977-01-18'
'NISHA', 'AREVALOS HERVAS', '1927-02-06'
'STEPHANIA', 'AREQUIPA YEBRA', '1964-07-07'
'ERIC ADRIAN', 'ARRILLAGA AYESTA', '1981-11-03'
'NICOLAS CRISTIAN', 'AZUMENDI HADJI', '1919-12-01'
'MARIA AIDE', 'OLASKOAGA MISSE', '1995-06-10'
'SIMEON', 'MATUTE BANDERA', '1954-01-30'
'DANIEL', 'AMORAGA VARONA', '1938-04-13'
'YESICA CARMEN', 'ARBAS MOTERO', '1950-09-16'
'MOUNYA', 'MOSES ZAPATER', '1998-10-23'
'ELISA RAQUEL', 'VALLET COJO', '2010-01-19'
'MACARENA SOLEDAD', 'CHANES ROGERS', '1949-02-03'
'JANDIRA', 'DUNNE GROSSO', '1952-04-11'
'MINETU', 'DAY LEACH', '1973-02-07'
'DUNIXE', 'CASQUEIRO IOVAN', '1954-07-19'
'ROCIO JESUS', 'SEIN RONQUILLO', '1995-08-19'
'CARLOS AARON', 'BELLOTA COIRADAS', '1919-12-24'
'GINTARE', 'ASEGURADO ANTONESCU', '1981-07-05'
'YOLANDA ROSA', 'TRASCASA GABOR', '1951-01-24'
'UBALDA', 'BULL ROMAGOSA', '1948-09-17'
'SAULA', 'CURSACH OLIVERA', '1931-08-03'
'SAMANTHA LOUISE', 'SARSANEDAS LAHMAMI', '1944-03-16'
'JUANA AURELIA', 'PLANES LONGOBARDO', '1926-04-01'
'ALICIA MARGARITA', 'ANDONOVA FLORO', '1947-09-03'
'GUILLERMO JUAN', 'SULIMAN FEDELICH', '1925-10-02'
'MARIANA FLORINA', 'CHELARIU CASES', '1959-03-23'
'NAIARA CARMEN', 'BADIMON BONACASA', '1962-03-28'
'AYALA', 'ORFILA GUALOTUÑA', '1936-07-02'
'DAVID MATTHEW', 'MAGAÑA ESQUERDA', '1933-08-23'
'ZAIDA MARIA', 'RIGOLA NION', '1969-06-23'
'JUAN REYES', 'VILARRUBIAS LEBON', '1931-11-19'
'SARA ROSARIO', 'TRAPAGA SANCHES', '1974-03-09'
'CAROLINA PAULA', 'PRADA OTXOA', '1941-04-05'
'TIAGO DANIEL', 'ZUMAQUERO VALENCIAGA', '1922-04-11'
'VICTORIA', 'MALEK GONZALEZ ORTEGA', '1936-04-18'
'FRANCIS JAVIER', 'CANTISANO TAMARA', '1998-08-24'
'MARIA NOELIA', 'BUZNEGO APAOLAZA', '1962-03-02'
'ROCIO VANESA', 'BAHA TABERNILLA', '1990-10-26'
'HAJI', 'RUBIANO FAINE', '2000-03-23'
'REDOSINDA', 'BARCO CALCINES', '1982-07-21'
'LUCI', 'DEVESA BATUECAS', '1978-04-13'
'JIANHUA', 'BOYER CAMPAN', '1980-08-22'
'PABLO CESAR', 'TAVAREZ DE LA VIUDA', '1941-01-12'
'WESSAL', 'TXAPARTEGI GANA', '1957-07-14'
'PONCIANO', 'MARCHANT SERRADA', '1981-12-07'
'BEZZA', 'ALTAREJOS PADRINO', '1981-04-07'
'RAZVAN CRISTIAN', 'SIBAJA FARGAS', '1924-01-22'
'BENVINGUT', 'GENAO SAIDI', '1982-06-09'
'ESTER CARMEN', 'AYMAMI JUARRANZ', '1975-04-13'
'ANGELES RAQUEL', 'ARECO ANGLADA', '1962-12-01'
'SVETOSLAV', 'MANCEÑIDO CASTRILLEJO', '1930-11-23'
'FREDDY ANTONIO', 'LLAMES LEÑADOR', '1949-08-08'
'EROLA', 'COBO ARIN', '1923-11-15'
'LUIS ANDRES', 'FULLA ESLAVA', '1941-08-13'
'RAQUEL CRISTINA', 'DECENA MALLOR', '1938-12-07'
'FATIMA PATRICIA', 'OTS BAKHTI', '1924-05-26'
'JULIA AURORA', 'INDIAS AINAGA', '1927-03-29'
'CARMEN LUCRECIA', 'ABERASTURI BASILE', '1941-08-15'
'HUGO RAMIRO', 'SALADRIGAS DEL BUEY', '1987-06-05'
'MICHAEL FREDERICK', 'DORADOR LOPEZ BARAJAS', '1969-09-03'
'MEGAN LOUISE', 'JANES SCHIOPU', '1987-02-26'
'SUSANE', 'GARULO SUEIRAS', '1973-10-18'
'YOUSSOUF', 'DE LOS MOZOS LARIZ', '1992-07-13'
'SUSAN', 'LLIMOS MONTANYA', '1998-03-11'
'ELIXABETE', 'DE VELASCO MEI', '1957-05-28'
'ESTHER ALEJANDRA', 'APARICIO KAMENOVA', '1918-04-10'
'MIRIAM ISABEL', 'MONDELO ARCONADA', '1937-06-29'
'SARINA', 'DE GODOS CASTRILLO', '1928-09-22'
'LOYDA', 'BRAVO DE MEDINA ASTORQUIA', '1921-10-30'
'NDIAGA', 'KONTEH GOUGH', '1999-07-16'
'JAIME HUMBERTO', 'DOCASAR COMPTE', '1944-08-15'
'MARIOLA', 'DRIOUCH BARRAK', '1960-11-15'
'OLEGUER', 'LENCERO SHENG', '1957-10-04'
'RONALD EDWARD', 'NADIF URIOSTE', '1963-12-08'
'JOSELYN MICHELLE', 'DOBREA ALOUANI', '1966-08-19'
'MARLENA', 'CEPEDA MODOL', '1934-07-15'
'NIEVES JOSEFA', 'HUERTAS AROLA', '1919-12-01'
'VASIL IVANOV', 'QUIROGA VIEGAS', '1991-06-08'
'DARIO JESUS', 'CHAM ROTARU', '1926-04-14'
'IVAN FEDERICO', 'MONCASI OLONDRIZ', '2009-06-12'
'YENY', 'MORALLON ZDRAVKOVA', '1919-06-02'
'ADRIANA NICOLETA', 'CHEVEZ MOUSSI', '1979-08-27'
'GINTARAS', 'PER MANCHA', '1949-06-28'
'LAURA INES', 'MIGUELEZ MONEREO', '1941-02-17'
'SERGIO LEON', 'RAHHOU FRANCOS', '1985-07-23'
'KEKE', 'GARRANCHO BERRONES', '1941-12-03'
'IDAN', 'ROSER VIECO', '2013-07-31'
'SHAMSHER', 'PURCAREA CARMONA', '1955-04-05'
'CHARO', 'CALDERO CHAKER', '1942-10-05'
'ESTEBAN ANTONIO', 'GIRELA AIS', '1931-07-16'
'GENET', 'LETAMENDIA CALLEN', '1947-08-11'
'HECTOR TOMAS', 'BONAVIDA GOMEZ ESCALONILLA', '1995-07-09'
'DANIELA ALEJANDRA', 'CRUAÑAS MAFE', '1971-03-13'
'MAEVA', 'DE ALMEIDA BENAMARA', '1996-04-20'
'ALIN CLAUDIU', 'PRADEL CAMPENY', '1963-04-12'
'YVONNE MARGARET', 'IZAGUERRI AFASSI', '1949-10-15'
'ANNE', 'CAÑIS LIZARBE', '1921-07-08'
'JAVIER MARCOS', 'TEMPORAL MURARU', '1969-11-03'
'ANGELI', 'OSTA WEST', '1939-07-26'
'CLAUDIA EUGENIA', 'BOUAZAMA ASHIQ', '1982-08-18'
'VICTOR ALEJANDRO', 'MORIÑA AZHIR', '1943-04-03'
'CARLOS EMILIO', 'PARGARAY ZABALLOS', '1926-05-07'
'MARIA ANARBELLA', 'TORNES FORNS', '1978-09-07'
'ALEXANDRE MANUEL', 'CERQUEIRAS SANCHEZ NORIEGA', '1960-02-01'
'SANTIAGO ANDRES', 'ELENA EL KHALIFI', '1997-07-30'
'VANINA', 'BARDERA ECHEVARRIA', '1963-11-11'
'LETICIA RAQUEL', 'RODRIGALVAREZ ABEIJON', '2008-10-06'
'ANDZELIKA', 'CARCAVILLA BORDONS', '1949-11-23'
'ROBERT CONSTANTIN', 'IRASTORZA ROSINO', '1977-05-24'
'ALEXANDRA MANUELA', 'ORTS DUET', '1987-07-20'
'LUIS JORGE', 'UZQUIZA TELLO', '1970-05-21'
'EMIR', 'LLOPES FAGOAGA', '1920-07-07'
'CILENE', 'ESCABIAS LADRA', '1967-10-29'
'RENATA MARIA', 'OBAYA HINOJOSAS', '1968-12-11'
'ALDO JOSE', 'BADI OREGUI', '1984-10-25'
'DIEGO FABRICIO', 'EL BADAOUI CIRUGEDA', '1961-06-17'
'ELSA CARMEN', 'WATKINS SAN AGUSTIN', '1977-10-28'
'FOUSSENY', 'MASSAGUE MORAGUES', '1935-08-17'
'FRANCISCO DIEGO', 'CANCELO CELAYA', '1994-11-09'
'YONGHUA', 'GOTI POPOV', '1964-01-01'
'LAUREN', 'VACACELA BOSCO', '1964-08-20'
'CARMEN DELFINA', 'CONDES BEUNZA', '1932-06-23'
'EMILIO ALFREDO', 'TERRAZA DANERI', '2008-11-02'
'ALEXANDRA LORENA', 'BASCUÑAN TALTAVULL', '1926-05-27'
'PABLO', 'CANGA TORREALDAY', '1943-08-25'
'MARIA MIREIA', 'GAUTO ARENALES', '1960-04-11'
'KEVIN DAMIAN', 'BALAGUE MAYAS', '1972-09-08'
'MARIA VICTORIA PILAR', 'CHAVELI AOUAD', '1964-07-04'
'DJAMEL EDDINE', 'GARRE BENTAHAR', '1954-06-18'
'DALI', 'MADURELL AMBOAGE', '2008-02-08'
'KHALY', 'GALLEGO CASILDA BEMBIBRE', '1989-08-11'
'FRANCO AGUSTIN', 'ARTABE ARLEGUI', '1967-12-21'
'MATEJ', 'ALDAYA MARIVELA', '1953-10-10'
'NAHID', 'NOMOKO MATACHE', '1968-11-13'
'YISSEL', 'SUBINAS CHRISTENSEN', '1948-06-30'
'ANDRA', 'KADDOUR CUIÑA', '1998-11-16'
'JUAN RAUL', 'CUBERES VILLAMIL', '1935-02-14'
'BURKHARD', 'SANTAMARTA IZNARDO', '1932-02-04'
'QUIRZE', 'CALVINO WHELAN', '1959-12-02'
'ANTONIO MELCHOR', 'AGIRREZABAL FLOREZ', '1965-04-11'
'JULIAN DANIEL', 'COSTES GUAPO', '1950-06-15'
'ELENA CARMEN', 'MUSTATA REJAS', '1949-01-05'
'MANUELA LOURDES', 'LUCANO DIOUM', '1925-03-15'
'SAUSAN', 'HERBELLA JUSTE', '1930-10-24'
'ABDELMOUNIM', 'BARRIUSO DAHOU', '1993-02-14'
'JULIAN BENITO', 'BASANTE CHAFER', '1958-01-18'
'ANGELES REYES', 'ARIFI KANTE', '1937-01-13'
'MARINA IRENE', 'ELIAS GORANOV', '1961-04-22'
'SONIA LUCIA', 'BALTA POMEDA', '2013-10-26'
'LUZ ROCIO', 'OPRIS CUADRAS', '1949-09-02'
'HAMAMA', 'ABADIN FIRVIDA', '1995-10-05'
'TORIA', 'HADDIOUI FABREGAT', '1970-02-11'
'MARIA AMAPOLA', 'WOODWARD SERRADOR', '1994-10-06'
'JOSEFA VICENTA', 'TERROSO ESCARRE', '1990-11-30'
'EUSEBIO ANTONIO', 'DULANTO ALE', '1973-08-17'
'AHLAM', 'RUZO HOFMANN', '1921-10-30'
'AGLAYA', 'URRESTILLA GALLIZO', '1982-08-05'
'SANDEL', 'UNGUREANU CRISOL', '2008-11-01'
'CAROLINA DOLORES', 'BUTNARU LAKA', '1952-01-09'
'AIZETI', 'PANTIGA MAÑO', '1968-12-08'
